Carga Horária,Categoria da Situação,Código da Matrícula,Cor/Raça,Data de Início do Ciclo,Data de Fim Previsto do Ciclo,Faixa Etária,Fator Esforço Curso,Idade,Instituição,Mês de Ocorrência da Situação,Região,Renda Familiar,Sexo,Turno,UF,Unidade de Ensino
4560,Concluintes,72330954,branca,2017-04-07,2019-12-21,20 a 24 anos,1.0,20.0,CPII,2020-01-01,Região Sudeste,"RFP>3,5",Feminino,Vespertino,RJ,Campus São Cristóvão III
4560,Concluintes,72521474,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"RFP>3,5",Feminino,Vespertino,RJ,Campus Niterói
4560,Evadidos,72816450,branca,2018-04-06,2021-02-06,20 a 24 anos,1.0,21.0,CPII,2020-11-01,Região Sudeste,"RFP>3,5",Feminino,Vespertino,RJ,Campus Centro
4560,Concluintes,72754014,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2020-01-01,Região Sudeste,"0,5<RFP<=1,0",Feminino,Vespertino,RJ,Campus Realengo II
4560,Concluintes,72597357,parda,2017-04-07,2019-12-21,20 a 24 anos,1.0,20.0,CPII,2020-01-01,Região Sudeste,"0,5<RFP<=1,0",Feminino,Vespertino,RJ,Campus Centro
4560,Concluintes,72704211,parda,2017-04-07,2019-12-21,20 a 24 anos,1.0,20.0,CPII,2020-01-01,Região Sudeste,"0,5<RFP<=1,0",Feminino,Vespertino,RJ,Campus Engenho Novo II
4560,Concluintes,73420503,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"0,5<RFP<=1,0",Feminino,Vespertino,RJ,Campus Realengo II
4560,Concluintes,72523840,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2020-01-01,Região Sudeste,"1,5<RFP<=2,5",Feminino,Vespertino,RJ,Campus Niterói
4560,Evadidos,85670453,parda,2018-04-06,2021-02-06,15 a 19 anos,1.0,19.0,CPII,2020-04-01,Região Sudeste,"1,0<RFP<=1,5",Feminino,Vespertino,RJ,Campus Niterói
4560,Concluintes,72330690,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,Não declarada,Feminino,Vespertino,RJ,Campus São Cristóvão III
4560,Concluintes,72331356,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,Não declarada,Feminino,Vespertino,RJ,Campus São Cristóvão III
4560,Concluintes,72353764,parda,2017-04-07,2019-12-21,20 a 24 anos,1.0,20.0,CPII,2020-01-01,Região Sudeste,Não declarada,Feminino,Vespertino,RJ,Campus São Cristóvão III
4560,Concluintes,72352236,preta,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"1,0<RFP<=1,5",Feminino,Vespertino,RJ,Campus São Cristóvão III
